Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
1.056,-66.738,-90.0055,38.7093,0.0029,-41.0444,180.011,2474.9330711830853
1.068,-65.0582,-90.0042,38.715,0.0029,-41.0438,180.011,2350.363346207361
1.08,-63.3785,-90.0017,38.7261,0.0029,-41.0426,180.011,2344.2653799487553
1.092,-61.6985,-89.9973,38.7456,0.0029,-41.0404,180.011,2280.9501738967606
1.104,-60.019,-89.9902,38.7769,0.0029,-41.037,180.011,2264.0206984174256
1.1159999999999999,-58.3441,-89.9794,38.8242,0.0029,-41.0317,180.011,2307.419012790678
1.128,-56.675,-89.964,38.8925,0.0029,-41.0242,180.011,2430.6568731829684
1.14,-55.0146,-89.9424,38.9874,0.0029,-41.0138,180.011,2425.812917695042
1.1520000000000001,-53.3661,-89.9136,39.1151,0.0029,-40.9997,180.011,2605.625154444611
1.1640000000000001,-51.7337,-89.8758,39.2817,0.0029,-40.9814,180.011,2475.303758596602
1.176,-50.1198,-89.8277,39.4936,0.0029,-40.958,180.011,1953.098656171088
1.188,-48.5296,-89.76799999999999,39.7571,0.0029,-40.929,180.011,2275.8471347398245
1.2,-46.967,-89.695,40.0793,0.0029,-40.8935,180.011,2415.6077130090594
1.212,-45.438,-89.6071,40.4669,0.0029,-40.8508,180.011,2213.821451240354
1.224,-43.946999999999996,-89.5027,40.9274,0.0029,-40.8001,180.011,2602.6150963924274
1.236,-42.5012,-89.3803,41.4674,0.0029,-40.7406,180.011,2259.673361499605
1.248,-41.1085,-89.2387,42.0924,0.0029,-40.6718,180.011,1763.3359594578642
1.26,-39.7781,-89.0771,42.8057,0.0029,-40.5932,180.011,1792.2005975266638
1.272,-38.5183,-88.895,43.6092,0.0029,-40.5047,180.011,1524.4931110401383
1.284,-37.338,-88.6927,44.5017,0.0029,-40.4063,180.011,1321.1444944029479
1.296,-36.2458,-88.4713,45.4782,0.00290001,-40.2988,180.011,1121.2053002512268
1.308,-35.2466,-88.2322,46.5332,0.00289995,-40.1826,180.011,1120.7227437116583
1.32,-34.3438,-87.9769,47.6596,0.0029002,-40.0585,180.011,1275.9505690723406
1.3319999999999999,-33.5383,-87.7072,48.8492,0.00289925,-39.9275,180.011,1182.9385925391382
1.344,-32.8279,-87.4248,50.0954,0.00290272,-39.7902,180.011,1382.8989856447713
1.3559999999999999,-32.2079,-87.1307,51.393,0.00289046,-39.6473,180.011,1623.948411296044
1.368,-31.673000000000002,-86.8265,52.7353,0.00293905,-39.4994,180.011,1686.7552081134481
1.38,-31.2161,-86.5134,54.1165,0.00301074,-39.3473,180.011,1979.5187075691215
1.392,-30.8289,-86.1921,55.5342,0.00299725,-39.1911,180.011,1972.2061835557415
1.4040000000000001,-30.5044,-85.8635,56.9837,0.00300066,-39.0314,180.011,2353.124741003324
1.416,-30.2359,-85.5289,58.4599,0.00299985,-38.8688,180.011,2384.853219875917
1.4280000000000002,-30.0166,-85.1883,59.9625,0.00300003,-38.7033,180.011,2287.5145456752016
1.44,-29.8403,-84.8428,61.4874,0.003,-38.5354,180.011,2466.003809882121
1.452,-29.7016,-84.4928,63.0313,0.003,-38.3652,180.011,2537.086948445198
1.464,-29.5949,-84.1391,64.5919,0.003,-38.1934,180.011,2438.099114065567
1.476,-29.5156,-83.7824,66.1655,0.003,-38.02,180.011,2822.606747773875
1.4880000000000002,-29.4589,-83.4229,67.7516,0.003,-37.8453,180.011,3080.3500116934433
1.5,-29.4206,-83.0616,69.346,0.003,-37.6697,180.011,3048.2999425983053
1.5119999999999998,-29.3962,-82.6985,70.9475,0.003,-37.4932,180.011,3149.790613424708
1.524,-29.3819,-82.3344,72.554,0.003,-37.3163,180.011,3639.368514581937
1.536,-29.3745,-81.9701,74.1614,0.003,-37.1392,180.011,3410.6152906968678
1.548,-29.3714,-81.6055,75.77,0.003,-36.961999999999996,180.011,3095.9249244274974
1.56,-29.3703,-81.2416,77.3753,0.003,-36.7852,180.011,3664.109354934519
1.5719999999999998,-29.3701,-80.87899999999999,78.9752,0.003,-36.609,180.011,3253.7542120801
1.584,-29.3701,-80.5181,80.5677,0.003,-36.4335,180.011,2803.0236463935325
1.5959999999999999,-29.3701,-80.1592,82.1509,0.003,-36.2591,180.011,2709.46926935706
1.608,-29.3701,-79.8033,83.7215,0.003,-36.0861,180.011,2727.323174037699
1.62,-29.3701,-79.4509,85.2761,0.003,-35.9149,180.011,2215.626648588599
1.632,-29.3701,-79.1025,86.8131,0.003,-35.7456,180.011,1580.0170997567984
1.6440000000000001,-29.3701,-78.7589,88.329,0.003,-35.5786,180.011,2093.7694843172367
1.656,-29.3701,-78.4208,89.8207,0.003,-35.4143,180.011,1573.466842054217
1.6680000000000001,-29.3701,-78.0886,91.2862,0.003,-35.2529,180.011,1177.446441177146
1.68,-29.3701,-77.7636,92.7204,0.003,-35.0949,180.011,1492.1685193463802
1.692,-29.3701,-77.4468,94.1183,0.003,-34.9409,180.011,1054.5874676319318
1.704,-29.3701,-77.1389,95.4766,0.003,-34.7913,180.011,604.7740742472935
1.716,-29.3701,-76.8416,96.7884,0.003,-34.6468,180.011,526.9815073153727
1.7280000000000002,-29.3701,-76.5565,98.0451,0.003,-34.51,180.011,415.072907185472
1.74,-29.3701,-76.2868,99.2291,0.003,-34.3957,180.011,418.04228447475225
1.7519999999999998,-29.3701,-76.0291,100.346,0.003,-34.325,180.011,397.4479525462105
1.764,-29.3701,-75.7765,101.417,0.003,-34.3168,180.011,392.3016799693921
1.776,-29.3701,-75.5254,102.446,0.003,-34.3798,180.012,399.79838172223845
1.788,-29.3701,-75.2746,103.43,0.003,-34.516999999999996,180.012,390.5469340993
1.8,-29.3701,-75.0247,104.36,0.003,-34.7283,180.012,388.47661658220505
1.8119999999999998,-29.3701,-74.7767,105.23100000000001,0.003,-35.0111,180.012,394.4684503170721
1.824,-29.3701,-74.5327,106.03399999999999,0.003,-35.3576,180.012,402.43661063055913
1.8359999999999999,-29.3701,-74.2946,106.766,0.003,-35.7557,180.012,392.8228115070358
1.848,-29.3701,-74.0646,107.426,0.003,-36.1857,180.012,382.4598173868539
1.86,-29.3702,-73.8438,108.01899999999999,0.003,-36.626,180.012,397.47007441128574
1.8719999999999999,-29.3702,-73.6345,108.54799999999999,0.003,-37.0558,180.012,405.9647505267791
1.8840000000000001,-29.3702,-73.4385,109.014,0.00299999,-37.4675,180.012,390.2998968339546
1.896,-29.3702,-73.2553,109.425,0.00300005,-37.8626,180.011,420.383589852614
1.9080000000000001,-29.3702,-73.0863,109.781,0.00299982,-38.2378,180.011,389.0191478501821
1.92,-29.3702,-72.9321,110.087,0.00300067,-38.5882,180.011,400.8533433815991
1.932,-29.3702,-72.7928,110.348,0.0029975,-38.9103,180.011,387.78579187039844
1.944,-29.3702,-72.6692,110.568,0.00300934,-39.2007,180.011,401.9826795010455
1.956,-29.3702,-72.5614,110.75299999999999,0.0029195000000000002,-39.4564,180.011,392.41431174265625
1.9680000000000002,-29.3702,-72.4697,110.90700000000001,0.0028951,-39.6743,180.011,383.57123077749515
1.98,-29.3702,-72.3938,111.03299999999999,0.00290131,-39.853,180.011,400.9844743358952
1.992,-29.3702,-72.3341,111.13,0.00289965,-39.9922,180.011,385.8110517981773
2.004,-29.3702,-72.2911,111.2,0.00290009,-40.0921,180.011,385.10236072491716
2.016,-29.3702,-72.2649,111.242,0.00289997,-40.1526,180.011,402.37587831276824
2.028,-29.3702,-72.2558,111.257,0.00290001,-40.1736,180.011,396.211825745805
2.04,-29.3702,-72.2637,111.244,0.0029,-40.1554,180.011,412.1902629742714
2.052,-29.3702,-72.2887,111.204,0.0029,-40.0976,180.011,390.8243001571641
2.064,-29.3702,-72.3305,111.13600000000001,0.0029,-40.0006,180.011,385.73037753753084
2.076,-29.3702,-72.3889,111.04,0.0029,-39.8641,180.011,405.62647944221436
2.088,-29.3702,-72.4637,110.917,0.0029,-39.6884,180.011,386.17222573290394
2.1,-29.3702,-72.5544,110.765,0.0029,-39.4734,180.011,412.8986269202508
2.112,-29.3702,-72.6609,110.58200000000001,0.0029,-39.2204,180.011,409.14745556903927
2.124,-29.3702,-72.7834,110.36399999999999,0.0029,-38.9324,180.011,404.79614508531466
2.136,-29.3702,-72.9214,110.10600000000001,0.0029,-38.6125,180.011,412.22407468164977
2.148,-29.3702,-73.0744,109.802,0.0029,-38.2642,180.011,366.69573510795817
2.16,-29.3702,-73.2422,109.448,0.0029,-37.8909,180.011,402.8629533182012
2.1719999999999997,-29.3702,-73.42399999999999,109.04,0.00290002,-37.4975,180.012,407.2931838254222
2.184,-29.3702,-73.6199,108.574,0.00289994,-37.0851,180.012,395.9119603806291
2.1959999999999997,-29.3702,-73.8288,108.04799999999999,0.00290019,-36.6562,180.012,408.5474154780032
2.208,-29.3702,-74.048,107.461,0.00289937,-36.2179,180.012,427.17790685424313
2.22,-29.3702,-74.2762,106.81,0.00290179,-35.7885,180.012,1136.7979080477342
2.2319999999999998,-29.3702,-74.5126,106.088,0.00289748,-35.3885,180.012,1406.9855688563641
2.244,-29.3702,-74.756,105.292,0.00300405,-35.0376,180.012,1488.3867347276578
2.256,-29.3702,-75.0047,104.42399999999999,0.00299769,-34.7482,180.012,1824.6626859373675
2.2680000000000002,-29.3702,-75.2572,103.49,0.00300073,-34.529,180.012,2171.8214569607712
2.28,-29.3702,-75.5121,102.49600000000001,0.00299982,-34.3852,180.012,2799.3081952178936
2.292,-29.3702,-75.7684,101.449,0.00300003,-34.3176,180.012,3106.6249146880177
2.3040000000000003,-29.3701,-76.0263,100.35799999999999,0.00299999,-34.3239,180.011,3632.872234662997
2.316,-29.3701,-76.2874,99.2266,0.003,-34.3946,180.011,3922.8782953800674
2.3280000000000003,-29.3701,-76.5581,98.0388,0.003,-34.5095,180.011,3883.8506160679503
