,Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
80,0.972,-78.3908,-90.0062,38.7062,0.0029,-41.0447,180.011,2295.824841366451
81,0.9840000000000001,-76.7108,-90.0062,38.7062,0.0029,-41.0447,180.011,2235.6917442396075
82,0.996,-75.0309,-90.0062,38.7062,0.0029,-41.0447,180.011,2219.8738093801653
83,1.008,-73.3509,-90.0062,38.7062,0.0029,-41.0447,180.011,2161.8268334765494
84,1.02,-71.6712,-90.0062,38.7062,0.0029,-41.0447,180.011,2435.5058986891536
85,1.032,-69.9911,-90.0062,38.7063,0.0029,-41.0447,180.011,2536.5157481575498
86,1.044,-68.31,-90.006,38.7071,0.0029,-41.0447,180.011,2429.047669689917
87,1.056,-66.6303,-90.0054,38.7096,0.0029,-41.0444,180.011,2505.6786331117373
88,1.068,-64.9504,-90.0041,38.7155,0.0029,-41.0437,180.011,2286.761757559178
89,1.08,-63.2706,-90.0015,38.7271,0.0029,-41.0425,180.011,2226.316724625146
90,1.092,-61.591,-89.9969,38.7472,0.0029,-41.0402,180.011,2262.3256539530685
91,1.104,-59.9126,-89.9896,38.7794,0.0029,-41.0367,180.011,2167.6987916980083
92,1.1159999999999999,-58.2369,-89.9786,38.8279,0.0029,-41.0313,180.011,2387.485217535504
93,1.128,-56.5697,-89.9628,38.8977,0.0029,-41.0237,180.011,2468.676320617184
94,1.14,-54.9099,-89.9408,38.9944,0.0029,-41.013000000000005,180.011,2451.858807606462
95,1.1520000000000001,-53.2638,-89.9115,39.1243,0.0029,-40.9987,180.011,2475.5053607776326
96,1.1640000000000001,-51.6339,-89.8731,39.2934,0.0029,-40.9801,180.011,2330.099627300853
97,1.176,-50.0239,-89.8245,39.5078,0.0029,-40.9564,180.011,2178.596580580799
98,1.188,-48.4364,-89.7641,39.7745,0.0029,-40.9271,180.011,2097.127254953466
99,1.2,-46.8756,-89.6902,40.1004,0.0029,-40.8912,180.011,2365.5843148060903
100,1.212,-45.3474,-89.6014,40.4924,0.0029,-40.848,180.011,2534.3111615855164
101,1.224,-43.8578,-89.4958,40.9579,0.0029,-40.7967,180.011,2256.530474534008
102,1.236,-42.4117,-89.37200000000001,41.5043,0.0029,-40.7365,180.011,2159.0327417942813
103,1.248,-41.0173,-89.2285,42.1374,0.0029,-40.6668,180.011,1808.1474606228892
104,1.26,-39.6844,-89.0646,42.8608,0.0029,-40.5872,180.011,1407.969080467847
105,1.272,-38.4221,-88.8797,43.6764,0.0029,-40.4973,180.011,1572.4614990970542
106,1.284,-37.242,-88.6747,44.5812,0.0029,-40.3976,180.011,1116.1309368220186
107,1.296,-36.1509,-88.4503,45.5711,0.00290001,-40.2885,180.011,1074.7822120292915
108,1.308,-35.1553,-88.2083,46.6389,0.00289995,-40.171,180.011,1158.2341554966522
109,1.32,-34.2588,-87.9505,47.7759,0.00290019,-40.0457,180.011,1397.3422412461694
110,1.3319999999999999,-33.4615,-87.6789,48.974,0.00289926,-39.9137,180.011,1365.0605101139904
111,1.344,-32.7601,-87.3951,50.2265,0.00290284,-39.7758,180.011,1443.3839654299713
112,1.3559999999999999,-32.1497,-87.1002,51.5275,0.00288948,-39.6325,180.011,1812.7466187077753
113,1.368,-31.6239,-86.7955,52.8718,0.0029500999999999998,-39.4843,180.011,2103.920659047745
114,1.38,-31.1752,-86.4824,54.2536,0.00301066,-39.3322,180.011,2081.4424762027425
115,1.392,-30.7956,-86.1613,55.67,0.0029971,-39.1762,180.011,2281.3966128996076
116,1.4040000000000001,-30.4776,-85.8331,57.1177,0.00300076,-39.0166,180.011,2335.8569714197047
117,1.416,-30.2147,-85.4991,58.5915,0.00299981,-38.8543,180.011,2278.0384417465157
118,1.4280000000000002,-30.0001,-85.1594,60.0902,0.00300004,-38.6893,180.011,2309.311835810062
119,1.44,-29.8279,-84.8148,61.6107,0.00299999,-38.5218,180.011,2215.259768047745
120,1.452,-29.6924,-84.4659,63.15,0.003,-38.3522,180.011,2214.54281332469
121,1.464,-29.5883,-84.1134,64.7054,0.003,-38.1809,180.011,2324.3374990554366
122,1.476,-29.5111,-83.7579,66.2735,0.003,-38.0081,180.011,2782.250352563555
123,1.4880000000000002,-29.456,-83.3998,67.8538,0.003,-37.834,180.011,2862.7932134684706
124,1.5,-29.4187,-83.0395,69.4432,0.003,-37.659,180.011,3002.889440926674
125,1.5119999999999998,-29.3951,-82.6779,71.0385,0.003,-37.4832,180.011,3219.338943678386
126,1.524,-29.3814,-82.3153,72.6384,0.003,-37.306999999999995,180.011,3550.2032920165257
127,1.536,-29.3743,-81.9522,74.2404,0.003,-37.1305,180.011,3332.994272716727
128,1.548,-29.3713,-81.5891,75.8423,0.003,-36.954,180.011,3110.625386830161
129,1.56,-29.3703,-81.2268,77.4407,0.003,-36.778,180.011,3573.635936737881
130,1.5719999999999998,-29.3701,-80.8654,79.035,0.003,-36.6024,180.011,3103.431631303511
131,1.584,-29.3701,-80.5058,80.6221,0.003,-36.4275,180.011,2590.6562343069622
132,1.5959999999999999,-29.3701,-80.1484,82.1986,0.003,-36.2539,180.011,2637.383674447577
133,1.608,-29.3701,-79.7937,83.7637,0.003,-36.0815,180.011,2573.5083364996785
134,1.62,-29.3701,-79.4423,85.3141,0.003,-35.9108,180.011,1863.6869405860537
135,1.632,-29.3701,-79.0948,86.84700000000001,0.003,-35.7419,180.011,1730.8262122978392
136,1.6440000000000001,-29.3701,-78.7521,88.3587,0.003,-35.5753,180.011,1822.8986672749347
137,1.656,-29.3701,-78.4148,89.8473,0.003,-35.4113,180.011,1559.3305246920952
138,1.6680000000000001,-29.3701,-78.0833,91.3099,0.003,-35.2503,180.011,1291.287270884654
139,1.68,-29.3701,-77.7586,92.7427,0.003,-35.0925,180.011,1301.1742025962637
140,1.692,-29.3701,-77.4417,94.1406,0.003,-34.9385,180.011,894.5991701693272
141,1.704,-29.3701,-77.1334,95.5008,0.003,-34.7886,180.011,582.7779015308388
142,1.716,-29.3701,-76.8355,96.815,0.003,-34.6439,180.011,466.5069781564189
143,1.7280000000000002,-29.3701,-76.5498,98.0747,0.003,-34.5069,180.011,409.8376784960544
144,1.74,-29.3701,-76.2801,99.2586,0.003,-34.3933,180.011,433.151441086462
145,1.7519999999999998,-29.3701,-76.0223,100.375,0.003,-34.3239,180.011,409.7078293824896
146,1.764,-29.3701,-75.7698,101.444,0.003,-34.3175,180.011,389.79679599114
147,1.776,-29.3701,-75.5181,102.476,0.003,-34.3828,180.012,410.99125458639236
148,1.788,-29.3701,-75.2662,103.462,0.003,-34.5229,180.012,405.1395560905927
149,1.8,-29.3701,-75.0147,104.396,0.003,-34.7384,180.012,381.55376579036346
150,1.8119999999999998,-29.3701,-74.7655,105.26899999999999,0.003,-35.0256,180.012,395.950640868949
151,1.824,-29.3701,-74.5202,106.074,0.003,-35.3772,180.012,381.9751277906649
152,1.8359999999999999,-29.3701,-74.2811,106.807,0.003,-35.7799,180.012,411.6454210159828
153,1.848,-29.3701,-74.0504,107.465,0.003,-36.2133,180.012,408.1174334150294
154,1.86,-29.3702,-73.829,108.05799999999999,0.003,-36.6562,180.012,385.95381071140315
155,1.8719999999999999,-29.3702,-73.6196,108.584,0.003,-37.0868,180.012,416.640827381812
156,1.8840000000000001,-29.3702,-73.4244,109.04700000000001,0.00299999,-37.4974,180.012,384.81881148818445
157,1.896,-29.3702,-73.2423,109.45299999999999,0.00300004,-37.8912,180.011,424.0680529581755
158,1.9080000000000001,-29.3702,-73.0743,109.806,0.00299986,-38.2647,180.011,418.2779733721594
159,1.92,-29.3702,-72.9212,110.10799999999999,0.00300053,-38.6131,180.011,401.0625172567584
160,1.932,-29.3702,-72.7831,110.365,0.00299802,-38.9329,180.011,394.00756711733374
161,1.944,-29.3702,-72.6607,110.583,0.00300739,-39.2209,180.011,373.9820432265193
162,1.956,-29.3702,-72.5541,110.765,0.00291227,-39.4739,180.011,399.50202974199703
163,1.9680000000000002,-29.3702,-72.4635,110.917,0.00289681,-39.6889,180.011,407.77555367097904
164,1.98,-29.3702,-72.3888,111.041,0.00290085,-39.8647,180.011,404.3133454709292
165,1.992,-29.3702,-72.3303,111.13600000000001,0.00289977,-40.001,180.011,385.2888874406575
166,2.004,-29.3702,-72.2886,111.204,0.00290006,-40.0979,180.011,369.44022655783465
167,2.016,-29.3702,-72.2637,111.244,0.00289998,-40.1555,180.011,404.3273321315504
168,2.028,-29.3702,-72.2558,111.257,0.0029,-40.1736,180.011,427.56265629768416
169,2.04,-29.3702,-72.2649,111.242,0.0029,-40.1525,180.011,415.0966490576499
170,2.052,-29.3702,-72.2912,111.2,0.0029,-40.0918,180.011,385.5703443317074
171,2.064,-29.3702,-72.3343,111.13,0.0029,-39.9918,180.011,395.7034063063455
172,2.076,-29.3702,-72.3939,111.03200000000001,0.0029,-39.8525,180.011,409.07365801002726
173,2.088,-29.3702,-72.4699,110.90700000000001,0.0029,-39.6738,180.011,405.59673040949076
174,2.1,-29.3702,-72.5618,110.75200000000001,0.0029,-39.4559,180.011,403.16326904947243
175,2.112,-29.3702,-72.6695,110.56700000000001,0.0029,-39.2002,180.011,396.80018565363093
176,2.124,-29.3702,-72.7931,110.346,0.0029,-38.9097,180.011,398.2539335927696
177,2.136,-29.3702,-72.9323,110.085,0.0029,-38.5876,180.011,408.8995609782165
178,2.148,-29.3702,-73.0863,109.77799999999999,0.0029,-38.2373,180.011,384.38574815849853
179,2.16,-29.3702,-73.2552,109.42,0.0029,-37.8624,180.011,396.92057111847294
180,2.1719999999999997,-29.3702,-73.438,109.008,0.00290001,-37.4676,180.012,397.5345673269872
181,2.184,-29.3702,-73.6355,108.536,0.00289996,-37.0527,180.012,368.6698134282322
182,2.1959999999999997,-29.3702,-73.8464,108.00200000000001,0.00290013,-36.6205,180.012,420.208181067013
183,2.208,-29.3702,-74.0676,107.40700000000001,0.00289964,-36.1799,180.012,437.5699424464186
184,2.22,-29.3702,-74.2973,106.74799999999999,0.00290044,-35.7507,180.012,1173.218436712216
